user_id,age,location_country
8,34.0,canada
11400,49.0,canada
11676,9.0,usa-california
67544,30.0,canada
85526,36.0,canada
96054,29.0,canada
116866,18.0,canada
123629,34.0,canada
177458,29.0,canada
200273,34.0,canada
210926,34.0,canada
219008,60.0,canada
263325,27.0,canada
2954,71.0,usa-kansas
152827,40.0,canada
35704,53.0,usa-missouri
83160,65.0,usa-oregon
110912,36.0,usa-california
137688,46.0,usa-newyork
157969,30.0,usa-colorado
192665,47.0,usa-california
197659,49.0,usa-pennsylvania
208059,8.0,usa-arizona
209163,16.0,usa-ohio
29526,26.0,usa-tennessee
36836,56.0,usa-northcarolina
46398,37.0,usa-texas
49300,34.0,usa-colorado
49635,11.0,usa-washington
67958,39.0,usa-idaho
113270,25.0,usa-illinois
113519,7.0,usa-california
115097,27.0,australia
136509,31.0,usa-california
148712,34.0,usa-alaska
178269,34.0,usa-california
180297,41.0,usa-michigan
188589,20.0,malaysia
194722,34.0,usa-texas
198013,34.0,usa-oregon
200674,58.0,usa-missouri
207148,42.0,usa-california
211919,38.0,usa-florida
212449,34.0,usa-texas
213191,34.0,usa-california
230522,52.0,usa-colorado
236322,34.0,usa-texas
238557,21.0,malaysia
242247,42.0,usa-michigan
245827,17.0,usa-
248583,,canada
252282,42.0,usa-washington
252921,22.0,usa-washington
255661,34.0,usa-colorado
52614,33.0,others
225910,19.0,usa-pennsylvania
274634,33.0,usa-hawaii
98499,,canada
166596,57.0,canada
189238,34.0,newzealand
223066,51.0,canada
92861,8.0,canada
3363,29.0,usa-tennessee
61501,34.0,canada
148514,17.0,usa-california
174304,26.0,usa-missouri
177090,37.0,usa-missouri
256233,34.0,usa-virginia
263256,,usa-tennessee
176875,31.0,others
213915,29.0,unitedkingdom
35826,34.0,usa-southcarolina
226745,38.0,usa-texas
9,34.0,usa-tennessee
243,34.0,usa-minnesota
388,35.0,usa-tennessee
2977,25.0,usa-washington
3329,34.0,usa-utah
6795,31.0,usa-oregon
7346,49.0,usa-california
7352,53.0,usa-texas
9419,34.0,usa-texas
9747,6.0,usa-missouri
9856,22.0,usa-colorado
11224,51.0,usa-washington
12685,17.0,usa-northcarolina
12923,39.0,usa-kentucky
13552,32.0,usa-tennessee
13582,29.0,portugal
14521,17.0,usa-rhodeisland
16666,34.0,usa-tennessee
16795,47.0,usa-maryland
17761,34.0,usa-michigan
19445,34.0,usa-newyork
20435,62.0,usa-alabama
20462,34.0,usa-louisiana
20801,29.0,brazil
20916,17.0,usa-massachusetts
21264,31.0,usa-newjersey
23511,56.0,usa-northcarolina
23768,45.0,usa-missouri
26240,34.0,usa-california
26544,37.0,usa-virginia
26593,10.0,usa-arizona
27684,34.0,usa-pennsylvania
28123,34.0,usa-indiana
28619,34.0,usa-connecticut
29654,42.0,germany
30487,40.0,usa-california
30533,10.0,usa-southcarolina
31299,74.0,usa-pennsylvania
31315,34.0,usa-indiana
31556,51.0,usa-california
31560,34.0,usa-southcarolina
31694,,usa-california
32516,44.0,usa-louisiana
35857,36.0,usa-ohio
35859,11.0,usa-minnesota
36606,39.0,usa-california
37874,43.0,usa-virginia
38718,14.0,usa-oregon
38991,68.0,usa-texas
39345,47.0,usa-florida
39646,35.0,usa-pennsylvania
40889,37.0,usa-minnesota
41781,54.0,usa-michigan
44663,34.0,malaysia
45585,34.0,usa-california
46389,55.0,usa-northcarolina
46767,24.0,germany
47971,40.0,canada
48268,18.0,austria
48911,57.0,usa-louisiana
49168,57.0,usa-westvirginia
49994,40.0,usa-wisconsin
52584,45.0,usa-california
52994,6.0,usa-oregon
54005,59.0,usa-washington
54884,33.0,usa-newhampshire
55027,44.0,usa-northcarolina
55492,43.0,usa-illinois
57108,38.0,usa-newyork
57423,34.0,usa-oregon
57632,34.0,usa-texas
59038,28.0,usa-texas
59390,34.0,usa-pennsylvania
60130,41.0,usa-arkansas
60569,41.0,usa-ohio
60683,47.0,usa-wisconsin
62667,53.0,usa-virginia
62881,39.0,usa-wisconsin
63470,56.0,usa-nevada
64535,43.0,usa-virginia
64679,34.0,usa-illinois
66387,52.0,usa-indiana
67487,33.0,usa-florida
68256,28.0,usa-oklahoma
68537,70.0,usa-texas
69232,55.0,usa-northcarolina
70205,34.0,usa-california
70666,18.0,usa-rhodeisland
72523,34.0,usa-newyork
72975,21.0,usa-minnesota
74709,21.0,usa-michigan
75691,17.0,usa-ohio
75819,15.0,usa-newyork
76352,58.0,usa-washington
76368,34.0,canada
76942,25.0,usa-california
78165,17.0,italy
78754,34.0,usa-illinois
78834,28.0,usa-hawaii
78973,29.0,portugal
79186,37.0,usa-alaska
79740,24.0,usa-missouri
80810,33.0,usa-missouri
81088,18.0,unitedkingdom
81298,20.0,usa-georgia
82114,34.0,usa-california
82893,40.0,usa-texas
83034,34.0,usa-alaska
84024,37.0,usa-texas
84611,34.0,usa-california
85534,49.0,usa-ohio
86303,31.0,usa-colorado
86969,59.0,usa-oregon
87257,34.0,usa-idaho
87929,25.0,usa-maine
88006,27.0,usa-california
90322,34.0,usa-minnesota
91633,21.0,usa-california
91832,11.0,usa-florida
93055,34.0,usa-missouri
93363,30.0,usa-michigan
93643,34.0,usa-texas
93772,34.0,usa-oregon
93800,52.0,usa-washington
94139,34.0,usa-california
94396,62.0,usa-washington
97721,46.0,usa-california
98012,48.0,usa-washington
98468,33.0,usa-oregon
98723,29.0,usa-ohio
98923,34.0,usa-ohio
100009,49.0,canada
100393,15.0,usa-california
101209,44.0,usa-arizona
102647,14.0,usa-california
102967,54.0,usa-washington
103315,32.0,usa-ohio
103416,33.0,usa-arizona
105124,34.0,usa-florida
105937,27.0,usa-florida
105979,26.0,usa-california
106230,34.0,usa-texas
107201,38.0,usa-michigan
107244,50.0,usa-wisconsin
107784,6.0,usa-pennsylvania
108143,17.0,usa-ohio
108247,34.0,usa-northcarolina
110127,34.0,usa-massachusetts
110440,29.0,usa-virginia
110558,34.0,usa-california
110973,43.0,usa-westvirginia
112001,43.0,usa-virginia
112093,35.0,usa-indiana
112280,50.0,usa-missouri
113328,34.0,usa-newyork
114544,35.0,usa-california
115003,43.0,usa-northcarolina
115120,29.0,usa-california
116127,,usa-washington
116428,47.0,canada
117594,26.0,usa-illinois
118659,37.0,usa-virginia
120396,46.0,usa-virginia
120771,49.0,usa-texas
122251,30.0,others
122440,29.0,canada
122658,,usa-georgia
123137,34.0,usa-georgia
123430,34.0,usa-southcarolina
123790,25.0,usa-newyork
123981,46.0,usa-arizona
124259,34.0,usa-colorado
124363,36.0,usa-florida
124487,15.0,usa-newmexico
125039,27.0,usa-indiana
125519,40.0,usa-california
126492,31.0,usa-illinois
127200,17.0,usa-illinois
128185,39.0,usa-missouri
128208,34.0,usa-texas
128463,,usa-newjersey
129084,39.0,usa-idaho
130784,34.0,usa-washington
131046,26.0,usa-connecticut
131681,48.0,usa-michigan
131703,,usa-newyork
131837,6.0,usa-utah
132144,,usa-washington
133706,30.0,australia
133738,28.0,usa-indiana
134264,14.0,usa-arizona
134797,34.0,usa-california
134863,34.0,usa-california
135149,15.0,usa-florida
135831,14.0,usa-virginia
136096,47.0,usa-virginia
136396,34.0,usa-ohio
136707,50.0,usa-louisiana
137589,35.0,usa-oregon
140824,53.0,germany
141444,7.0,usa-massachusetts
143134,27.0,usa-arkansas
143253,27.0,usa-tennessee
143939,34.0,usa-washington
144062,16.0,usa-massachusetts
144255,34.0,germany
144478,39.0,usa-texas
144531,37.0,usa-california
145619,36.0,usa-connecticut
146113,16.0,usa-northcarolina
146279,42.0,usa-missouri
146816,34.0,usa-minnesota
147965,11.0,usa-florida
149120,15.0,usa-michigan
150400,,usa-california
150896,30.0,usa-washington
151004,41.0,usa-newjersey
151063,70.0,usa-texas
152354,34.0,usa-massachusetts
152696,34.0,usa-california
153513,31.0,usa-arkansas
153718,27.0,usa-illinois
154730,42.0,usa-california
155495,26.0,usa-oregon
156300,49.0,usa-california
159440,27.0,france
159506,28.0,usa-oregon
160735,39.0,usa-minnesota
160819,43.0,usa-florida
161870,13.0,usa-ohio
163194,57.0,usa-oregon
163693,37.0,usa-alabama
164323,31.0,canada
165618,34.0,germany
165842,34.0,usa-pennsylvania
165884,34.0,usa-kentucky
166391,60.0,usa-pennsylvania
167038,34.0,usa-florida
167800,57.0,usa-mississippi
168132,37.0,usa-maryland
169403,43.0,usa-georgia
170518,61.0,usa-maryland
170580,34.0,usa-california
171078,43.0,canada
172539,16.0,usa-california
172742,44.0,usa-oregon
173415,31.0,usa-illinois
173684,15.0,usa-california
174642,33.0,usa-pennsylvania
175117,34.0,usa-pennsylvania
176477,46.0,usa-ohio
176790,43.0,usa-california
176894,32.0,usa-utah
178130,45.0,usa-washington
179068,30.0,usa-nebraska
181519,34.0,usa-connecticut
182459,28.0,usa-indiana
182746,44.0,usa-florida
185384,15.0,usa-missouri
185722,24.0,usa-california
186570,28.0,usa-illinois
187266,66.0,usa-nebraska
187533,68.0,others
187944,41.0,usa-newjersey
189655,34.0,usa-pennsylvania
190741,52.0,usa-texas
192353,26.0,usa-nevada
192399,34.0,usa-michigan
193529,51.0,usa-missouri
193898,34.0,usa-pennsylvania
195347,34.0,usa-california
195469,39.0,usa-newyork
195694,29.0,usa-arizona
197364,30.0,usa-georgia
198046,51.0,usa-wisconsin
198412,17.0,usa-newjersey
198483,34.0,usa-maryland
198711,62.0,usa-minnesota
199092,50.0,netherlands
199640,30.0,usa-washington
200234,53.0,canada
200402,35.0,usa-california
201548,29.0,germany
202619,28.0,usa-california
203649,41.0,usa-kentucky
204504,41.0,usa-newyork
205963,56.0,usa-california
206423,34.0,usa-maryland
207259,38.0,usa-oregon
207291,34.0,australia
207782,28.0,usa-texas
207825,52.0,usa-alaska
208147,41.0,usa-washington
208607,34.0,usa-nebraska
210276,67.0,usa-florida
210717,42.0,usa-newyork
210838,66.0,usa-illinois
211321,19.0,usa-ohio
213220,34.0,usa-pennsylvania
213760,32.0,usa-nebraska
214786,6.0,usa-kentucky
215256,34.0,usa-california
215949,34.0,usa-michigan
216670,34.0,usa-florida
216683,16.0,usa-california
217375,35.0,usa-florida
217516,56.0,usa-virginia
217986,35.0,usa-michigan
218121,17.0,usa-colorado
221445,5.0,usa-oregon
222217,25.0,germany
223331,34.0,usa-florida
224435,24.0,usa-michigan
224764,11.0,usa-newjersey
225717,33.0,others
225810,56.0,usa-california
225826,23.0,usa-oregon
225989,27.0,usa-california
226638,50.0,usa-nevada
227392,30.0,usa-massachusetts
229011,34.0,usa-virginia
231237,8.0,others
232131,5.0,usa-california
232271,46.0,usa-iowa
232945,28.0,usa-rhodeisland
233731,44.0,canada
234623,14.0,usa-maine
235059,24.0,usa-illinois
235842,41.0,usa-iowa
235935,43.0,usa-newjersey
236172,34.0,usa-virginia
240024,40.0,usa-texas
240144,34.0,usa-wisconsin
240567,33.0,usa-newjersey
240951,41.0,usa-minnesota
241306,32.0,usa-northcarolina
241548,44.0,usa-california
241666,35.0,usa-california
241980,35.0,usa-virginia
242843,43.0,usa-arizona
242891,84.0,usa-texas
243930,43.0,france
244349,40.0,usa-california
244627,32.0,usa-tennessee
244761,34.0,usa-california
245616,28.0,usa-california
245963,6.0,usa-missouri
246333,31.0,usa-tennessee
246655,13.0,usa-northcarolina
250101,61.0,usa-arizona
250184,15.0,usa-washington
251122,34.0,usa-iowa
251377,12.0,usa-california
251613,34.0,usa-california
253106,45.0,usa-newyork
254971,53.0,usa-idaho
255719,30.0,usa-ohio
256407,58.0,usa-missouri
256925,32.0,usa-kentucky
258534,32.0,usa-texas
258884,34.0,usa-illinois
259078,49.0,usa-alaska
259223,82.0,usa-idaho
259543,34.0,usa-california
259778,34.0,usa-oregon
259846,34.0,others
260897,25.0,usa-illinois
261378,34.0,usa-nebraska
261829,32.0,others
262846,34.0,usa-texas
263163,26.0,usa-texas
263644,34.0,usa-massachusetts
263877,44.0,canada
265115,11.0,usa-california
265276,39.0,usa-montana
265313,33.0,usa-northcarolina
266268,34.0,usa-southcarolina
267549,34.0,usa-washington
268330,23.0,usa-florida
269566,9.0,usa-washington
269614,46.0,usa-wisconsin
271284,50.0,usa-virginia
271558,35.0,usa-nevada
273190,71.0,usa-florida
273979,20.0,usa-pennsylvania
274167,52.0,canada
274308,33.0,usa-florida
274823,34.0,usa-texas
276641,25.0,portugal
277478,31.0,netherlands
3373,30.0,usa-california
4781,47.0,usa-newhampshire
5555,34.0,france
6026,34.0,usa-maine
6242,6.0,canada
7210,11.0,canada
8362,28.0,usa-california
8570,23.0,usa-newyork
11104,34.0,usa-pennsylvania
12863,29.0,unitedkingdom
14449,72.0,canada
16231,32.0,canada
17003,34.0,usa-california
20265,29.0,usa-florida
21870,6.0,usa-pennsylvania
22625,54.0,usa-newyork
27624,54.0,unitedkingdom
28056,36.0,usa-pennsylvania
32793,22.0,canada
34588,34.0,usa-oregon
34864,39.0,france
36197,44.0,usa-kansas
36715,6.0,usa-kentucky
36907,39.0,canada
40330,34.0,usa-maryland
40612,25.0,usa-michigan
43619,26.0,usa-massachusetts
